queue,priority,software_used,hardware_used,accounting_category,language,subject,text
hardware,2,unknown,Wireless Mouse,unknown,en,Wireless Mouse suddenly stops working,"Dear Support Team, I've been using the Wireless Mouse I purchased recently, and all of a sudden, it just stopped working. I've tried changing the batteries and reconnecting it, but nothing helps. Could you please provide a solution? Thanks, Jane Doe"
hardware,2,unknown,IP PBX,unknown,fr,Problème de connexions IP PBX,"Bonjour, nous rencontrons un problème avec notre matériel IP PBX. Les connexions sont instables et nous observons des interruptions fréquentes. Cela affecte fortement notre communication interne. Votre assistance serait très appréciée pour régler ce problème rapidement."
hardware,2,unknown,SFX-Netzteil,unknown,de,Problem mit meinem SFX-Netzteil,"Sehr geehrte Damen und Herren, mein SFX-Netzteil zeigt unregelmäßige Spannungsabfälle, wodurch mein System plötzlich einfriert. Das Netzteil ist etwa sechs Monate alt. Können Sie mir bitte weiterhelfen? Vielen Dank!"
accounting,2,unknown,unknown,Customer Inquiries::Technical Support,en,Invoice Adjustment Request,"Dear Customer Support,
I recently received my latest invoice (#123456) and noticed an error. The invoice includes two items that were not part of my original order. Can you please review and adjust the invoice accordingly? Your prompt assistance would be greatly appreciated.
Best regards,
John Doe"
software,2,Arbitrum,unknown,unknown,en,Issue with Arbitrum: UI not loading,"Hello Support Team,
I've been experiencing an issue with the Arbitrum software. The user interface fails to load properly upon startup. I've tried reinstalling the application and clearing the cache, but the problem persists. Could you please assist in resolving this matter?
Best Regards,
Sarah Becker"
software,1,Drug Discovery,unknown,unknown,es,Pregunta sobre actualización Drug Discovery,"Estimados, me gustaría saber si hay alguna actualización próxima para el software Drug Discovery que solucione algunos errores menores que he encontrado. No es urgente, pero apreciaría una respuesta."
software,3,Adobe Premiere Pro 2021,unknown,unknown,de,Dringendes Problem mit Adobe Premiere Pro 2021,"Hallo Team,Adobe Premiere Pro 2021 stürzt ständig ab. Ich habe ein dringendes Projekt und kann auf keine Dateien zugreifen. Das Programm startet, friert kurz danach aber immer ein. Habe alles probiert und brauche dringend Hilfe. Mit freundlichen Grüßen, Kai Müller"
accounting,2,unknown,unknown,Employee Inquiries::Technical,fr,Changement d'adresse de facturation souhaité,"Bonjour, pourriez-vous mettre à jour notre adresse de facturation avec la nouvelle : 68 Rue de Rivoli, 75001 Paris ? Merci beaucoup."
accounting,2,unknown,unknown,Employee Inquiries::IT Support::Access Rights,fr,Demande de mise à jour des droits d'accès,"Bonjour Service IT, je rencontre des difficultés d'accès à certaines applications indispensables pour mon travail. Pourriez-vous vérifier et ajuster mes droits d'accès ? Numero employé: 549876. Domaine: Comptabilité Merci d'avance pour votre aide. Cordialement, Marc Durand"
hardware,2,unknown,Portable Console,unknown,en,Issue with Portable Console - Screen flickering,The screen flickers randomly during use.
